Dorsal,Piloto,Coche,Equipo
01,Alex Torque,Toyota GT86,Sideways Crew
02,Mario Cruz,BMW E92,Drift Brothers
03,Leo Ramos,Nissan 350Z,Oversteer Squad
04,Bruno Vega,Ford Mustang GT,Wild Angle
05,Saul Medina,Toyota Supra MK4,Turbo Slide
06,Ivan Rojas,Mercedes C300,Urban Drift
07,Dani Turbo,Mazda RX7,Rotary Force
08,Diego Paredes,Honda S2000,VTEC Drift
09,Pablo Reyes,BMW E46,Blue Smoke Team
10,Adrian Soto,Nissan 200SX,Street Kings
11,Victor Luna,Lexus IS300,Midnight Drift
12,Raul Ortega,Toyota Chaser,Drift Empire
13,Esteban Moya,Ford Focus RS,Grip Zero
14,Hugo Navarro,Nissan Skyline R33,East Side Drift
15,Juan Lopez,Nissan Silvia S15,Slide Kings
16,Sergio Vidal,BMW E36,Low Angle
17,Marcos Gil,Toyota Corolla AE86,Retro Slide
18,Andres Pino,Nissan 370Z,Power Over
19,Cristian Leon,Mazda MX5,Lightweight Drift
20,Jorge Salas,Ford Mustang Foxbody,Old School Drift
21,Kevin Duarte,BMW E90,Precision Drift
22,Oscar Peña,Nissan Silvia S14,Drift Legends
23,Ruben Castro,Toyota Supra MK5,Modern Slide
24,Alberto Ruiz,Hyundai Genesis Coupe,Torque Masters
25,David Lara,BMW M2,Next Gen Drift
26,Fernando Costa,Nissan Skyline R34,GTR Drift
27,Gonzalo Ibarra,Toyota GT86,Slide Project
28,Rafa Drift,BMW E36 M3,Red Burn Team
29,Miguel Torres,Chevrolet Camaro SS,Muscle Drift
30,Samuel Ortiz,Nissan Laurel,Street Sideways
31,Jaime Fuentes,BMW E30,Classic Drift
32,Lucas Herrera,Mazda RX8,Rotary Motion
33,Nico Campos,Toyota Chaser JZX100,Angle Factory
34,Tomas Rivas,Ford Sierra Cosworth,Boosted Drift
35,Alejandro Mora,Nissan 180SX,Drift Culture
36,Joel Santana,BMW E92 M3,Smoke Lab
37,Enzo Aguilar,Toyota Supra MK3,Heritage Drift
38,Matias Bravo,Nissan Fairlady Z,Zen Drift
39,Ismael Cano,Lexus SC300,Luxury Slide
40,Pedro Zamora,Honda Civic Type R,FF to FR Team
41,Guillermo Soler,BMW E82 1M,Compact Drift
42,Rodrigo Navas,Nissan Silvia S13,Sideways Garage
43,Julian Prieto,Toyota Mark II,Drift Syndicate
44,Carlos Humo,Ford Sierra,Drift Garage
45,Emilio Vargas,BMW E46 M3,M Power Drift
46,Arturo Dominguez,Nissan GT-R R32,Godzilla Slide
47,Victor Castillo,Toyota GR86,Neo Drift
48,Manuel Cordero,Subaru BRZ,Boxer Drift
49,Daniel Campos,Chevrolet Corvette C6,V8 Angle
50,Santiago Reyes,Dodge Challenger,Last Corner Drift
